centro_titular|centro_nombre|distancia|centro_educativo_centrico
AYUNTAMIENTO|VALDILECHA|37294.81511527293|0
AYUNTAMIENTO|LA JARA|37859.785560972356|0
AYUNTAMIENTO|BAOBAB|38040.018972892474|0
AYUNTAMIENTO|TALAMANCA DE JARAMA|38122.18530693784|0
AYUNTAMIENTO|LA ESTACION|38310.71270292985|0
AYUNTAMIENTO|EL VELLON|38320.60204169336|0
AYUNTAMIENTO|TIELMES|38594.87617341545|0
AYUNTAMIENTO|TIELMES|38745.27008495687|0
AYUNTAMIENTO|GUADALIX DE LA SIERRA|38794.15595924788|0
AYUNTAMIENTO|GUADALIX DE LA SIERRA|38813.34402633744|0
AYUNTAMIENTO|NUEVO BAZTAN|39381.48918856267|0
AYUNTAMIENTO|NUEVO BAZTAN|39461.54316071857|0
AYUNTAMIENTO|BECERRIL DE LA SIERRA Nº 1|39577.02996497186|0
AYUNTAMIENTO|EL ESCORIAL|39605.591774652145|0
AYUNTAMIENTO|COLLADO MEDIANO|39730.056713106715|0
AYUNTAMIENTO|CHINCHON|40156.062947549195|0
AYUNTAMIENTO|FRESNEDILLAS DE LA OLIVA|40357.178413552545|0
AYUNTAMIENTO|COLLADO MEDIANO|40360.96183921977|0
AYUNTAMIENTO|LA CASITA|40728.437192298115|0
AYUNTAMIENTO|EL OLMO|40771.132681090916|0
AYUNTAMIENTO|VENTURADA|40809.79917920321|0
AYUNTAMIENTO|SAN LORENZO DE EL ESCORIAL|41251.11383006636|0
AYUNTAMIENTO|GUADARRAMA|41927.19504630692|0
AYUNTAMIENTO|NAVACERRADA|42103.729221040085|0
AYUNTAMIENTO|GUADARRAMA|42107.37258648983|0
AYUNTAMIENTO|TREBOL|42122.39695111738|0
AYUNTAMIENTO|LA OLMA|42364.14764463715|0
AYUNTAMIENTO|NAVALAFUENTE|42568.89572650931|0
AYUNTAMIENTO|REDUEÑA|43022.04684840077|0
AYUNTAMIENTO|CHAPINERIA|43817.137667758354|0
AYUNTAMIENTO|MAESTRA MARIA ANGELES CABELLO|43849.27386239642|0
AYUNTAMIENTO|LA COLMENA|43947.38898339678|0
AYUNTAMIENTO|CARABAÑA|44066.0779000846|0
AYUNTAMIENTO|ELMER|44106.559995370815|0
AYUNTAMIENTO|A CHUPÉ|44309.96657867895|0
AYUNTAMIENTO|VALLE DE LUZ|44421.65939151381|0
AYUNTAMIENTO|SOL Y LUNA|44443.73492290033|0
AYUNTAMIENTO|COLMENAR DE OREJA|44532.08675616584|0
AYUNTAMIENTO|ALDEA DEL FRESNO|44568.53168217112|0
AYUNTAMIENTO|LOS HUERTOS|44819.098834492965|0
AYUNTAMIENTO|ORUSCO DE TAJUÑA|44863.7482633639|0
AYUNTAMIENTO|TORRELAGUNA|45408.56925100376|0
AYUNTAMIENTO|JOAQUIN RODRIGO|45409.02483476207|0
AYUNTAMIENTO|BELMONTE DE TAJO|45423.099007181074|0
AYUNTAMIENTO|TORRELAGUNA|45462.06885936591|0
AYUNTAMIENTO|RINCON FLORIDO|45544.85784353328|0
AYUNTAMIENTO|CERCEDILLA|45565.28845358861|0
AYUNTAMIENTO|EL ARBOL|46173.279815472495|0
AYUNTAMIENTO|EL REGAJAL|46296.40197232837|0
AYUNTAMIENTO|ROBLEDO DE CHAVELA|46351.311380794185|0
AYUNTAMIENTO|EL PARQUE|46456.657846383285|0
AYUNTAMIENTO|VILLAREJO DE SALVANES|46576.31242513188|0
AYUNTAMIENTO|EL CASTILLO|46688.50696933811|0
AYUNTAMIENTO|CINTA Y ELISA|46987.40502055865|0
AYUNTAMIENTO|BUSTARVIEJO|47276.28235262613|0
AYUNTAMIENTO|TORREMOCHA DE JARAMA|47581.57341143967|0
AYUNTAMIENTO|TORREMOCHA DE JARAMA|47666.53710925166|0
AYUNTAMIENTO|EL CANCIONERO|48436.89635268089|0
AYUNTAMIENTO|LA CABRERA|48550.64509525459|0
AYUNTAMIENTO|LA CABRERA|49235.353095344086|0
AYUNTAMIENTO|ARCO IRIS|49569.38312990788|0
AYUNTAMIENTO|VALDARACETE|49724.68230692073|0
AYUNTAMIENTO|PATONES|50146.200676738306|0
AYUNTAMIENTO|EL BERRUECO|51618.52885540937|0
AYUNTAMIENTO|LOS CASCABELES|54185.98923219216|0
AYUNTAMIENTO|VILLA DEL PRADO|54436.08433182296|0
AYUNTAMIENTO|SIETE ESTRELLAS|54852.990429994315|0
AYUNTAMIENTO|LOZOYUELA|55011.21494222546|0
AYUNTAMIENTO|VILLAMANRIQUE DE TAJO|56365.74781790109|0
AYUNTAMIENTO|LOS ENANITOS|57561.51229960496|0
AYUNTAMIENTO|LA BALLENITA|57561.80081979945|0
AYUNTAMIENTO|FUENTIDUEÑA DE TAJO|57564.698581738594|0
AYUNTAMIENTO|SAN MARTIN DE VALDEIGLESIAS|59827.08308577379|0
AYUNTAMIENTO|LA LUNA|60194.961376456224|0
AYUNTAMIENTO|BUITRAGO|62423.4669449455|0
AYUNTAMIENTO|BUITRAGO DE LOZOYA|62449.12752839199|0
